iter	Passed	Remaining
0	167	166869
1	180	89890
2	184	61157
3	206	51361
4	207	41352
5	209	34784
6	211	29970
7	212	26334
8	213	23503
9	214	21264
10	215	19419
11	217	17870
12	218	16568
13	221	15621
14	234	15400
15	246	15165
16	250	14506
17	259	14151
18	260	13455
19	264	12967
20	265	12385
21	268	11954
22	333	14172
23	334	13614
24	337	13145
25	338	12672
26	339	12230
27	340	11818
28	341	11434
29	342	11083
30	343	10750
31	344	10436
32	346	10144
33	347	9886
34	349	9631
35	350	9390
36	351	9154
37	353	8952
38	354	8743
39	355	8542
40	357	8361
41	358	8179
42	359	8010
43	361	7853
44	368	7811
45	369	7655
46	370	7510
47	372	7383
48	373	7251
49	375	7142
50	377	7020
51	509	9290
52	530	9480
53	548	9600
54	549	9444
55	551	9290
56	556	9212
57	563	9158
58	584	9318
59	592	9287
60	603	9292
61	701	10617
62	735	10940
63	739	10819
64	741	10668
65	751	10630
66	757	10548
67	759	10406
68	761	10275
69	765	10172
70	767	10043
71	772	9953
72	773	9822
73	774	9693
74	783	9667
75	801	9746
76	803	9631
77	825	9757
78	887	10352
79	896	10308
80	898	10195
81	900	10077
82	901	9964
83	910	9929
84	915	9852
85	919	9775
86	930	9760
87	959	9944
88	961	9839
89	978	9890
90	985	9841
91	988	9756
92	1092	10655
93	1094	10551
94	1096	10446
95	1098	10342
96	1101	10256
97	1145	10543
98	1156	10526
99	1185	10665
100	1197	10655
101	1199	10564
102	1201	10467
103	1206	10397
104	1219	10394
105	1221	10299
106	1223	10213
107	1235	10202
108	1237	10113
109	1239	10028
110	1244	9963
111	1277	10127
112	1298	10190
113	1303	10127
114	1372	10565
115	1419	10817
116	1426	10764
117	1470	10988
118	1472	10899
119	1581	11595
120	1607	11678
121	1641	11816
122	1663	11858
123	1669	11791
124	1671	11702
125	1673	11609
126	1677	11530
127	1680	11448
128	1682	11363
129	1687	11292
130	1689	11204
131	1692	11131
132	1694	11044
133	1696	10963
134	1701	10904
135	1711	10870
136	1714	10801
137	1767	11040
138	1768	10954
139	1924	11824
140	1927	11742
141	1928	11652
142	1929	11564
143	1931	11478
144	1933	11402
145	1942	11363
146	1943	11279
147	1944	11194
148	1946	11120
149	1948	11042
150	1949	10961
151	1950	10880
152	1950	10800
153	1999	10982
154	2000	10907
155	2003	10839
156	2008	10785
157	2010	10712
158	2011	10638
159	2018	10595
160	2021	10532
161	2024	10473
162	2031	10430
163	2036	10378
164	2042	10337
165	2043	10268
166	2049	10225
167	2057	10189
168	2073	10193
169	2078	10146
170	2079	10083
171	2081	10019
172	2087	9980
173	2090	9923
174	2094	9873
175	2098	9823
176	2105	9789
177	2106	9727
178	2111	9683
179	2114	9634
180	2120	9595
181	2127	9562
182	2129	9508
183	2136	9475
184	2142	9436
185	2148	9403
186	2158	9383
187	2159	9326
188	2188	9390
189	2189	9335
190	2190	9279
191	2192	9227
192	2203	9215
193	2209	9179
194	2211	9130
195	2218	9099
196	2219	9048
197	2223	9007
198	2225	8957
199	2226	8905
200	2227	8856
201	2230	8812
202	2233	8768
203	2234	8718
204	2238	8681
205	2241	8638
206	2242	8590
207	2245	8550
208	2246	8503
209	2248	8458
210	2298	8593
211	2314	8602
212	2329	8605
213	2338	8587
214	2342	8551
215	2360	8568
216	2373	8564
217	2386	8559
218	2402	8566
219	2407	8537
220	2409	8494
221	2415	8466
222	2425	8451
223	2427	8409
224	2430	8370
225	2432	8332
226	2434	8289
227	2436	8249
228	2441	8218
229	2443	8181
230	2453	8168
231	2455	8129
232	2456	8087
233	2457	8045
234	2461	8012
235	2465	7980
236	2466	7940
237	2469	7906
238	2471	7868
239	2474	7836
240	2476	7797
241	2478	7761
242	2481	7731
243	2483	7693
244	2487	7665
245	2490	7632
246	2491	7596
247	2493	7559
248	2495	7527
249	2497	7491
250	2500	7461
251	2501	7424
252	2502	7389
253	2514	7383
254	2516	7350
255	2518	7319
256	2522	7291
257	2524	7259
258	2526	7226
259	2530	7202
260	2533	7173
261	2534	7140
262	2537	7110
263	2540	7081
264	2541	7048
265	2547	7028
266	2548	6997
267	2555	6979
268	2561	6961
269	2564	6933
270	2569	6911
271	2574	6890
272	2575	6859
273	2578	6830
274	2579	6799
275	2580	6769
276	2599	6785
277	2600	6753
278	2602	6724
279	2603	6694
280	2604	6663
281	2620	6671
282	2621	6641
283	2627	6624
284	2634	6609
285	2640	6593
286	2650	6585
287	2661	6578
288	2662	6549
289	2670	6537
290	2671	6508
291	2674	6484
292	2675	6455
293	2676	6426
294	2681	6408
295	2685	6387
296	2687	6362
297	2707	6378
298	2736	6416
299	2750	6417
300	2752	6391
301	2753	6364
302	2757	6343
303	2764	6328
304	2783	6341
305	2801	6353
306	2802	6326
307	2804	6300
308	2808	6280
309	2820	6276
310	2835	6282
311	2848	6282
312	2893	6350
313	2896	6328
314	2925	6361
315	2928	6338
316	2934	6322
317	2936	6297
318	2937	6271
319	2939	6245
320	2941	6221
321	2944	6200
322	2946	6175
323	2956	6168
324	2959	6146
325	2964	6128
326	2968	6108
327	2975	6096
328	2981	6081
329	2985	6062
330	2990	6043
331	2992	6020
332	2996	6001
333	2997	5976
334	3003	5962
335	3007	5943
336	3010	5923
337	3014	5904
338	3018	5886
339	3026	5874
340	3031	5858
341	3051	5870
342	3052	5846
343	3053	5822
344	3058	5806
345	3060	5784
346	3063	5765
347	3065	5742
348	3067	5721
349	3068	5698
350	3070	5676
351	3071	5654
352	3074	5635
353	3078	5617
354	3080	5596
355	3081	5573
356	3084	5555
357	3086	5535
358	3094	5524
359	3095	5502
360	3096	5481
361	3101	5465
362	3105	5450
363	3111	5436
364	3117	5424
365	3118	5402
366	3124	5389
367	3125	5367
368	3143	5375
369	3145	5355
370	3151	5343
371	3156	5328
372	3157	5308
373	3161	5291
374	3164	5273
375	3165	5253
376	3183	5261
377	3188	5246
378	3189	5226
379	3190	5205
380	3191	5185
381	3195	5169
382	3196	5148
383	3197	5129
384	3202	5114
385	3209	5104
386	3210	5085
387	3216	5073
388	3220	5058
389	3247	5079
390	3250	5062
391	3253	5046
392	3276	5061
393	3280	5045
394	3302	5057
395	3303	5038
396	3348	5086
397	3357	5077
398	3362	5065
399	3364	5046
400	3367	5029
401	3370	5014
402	3372	4995
403	3375	4980
